                 U _CFAbsoluteTimeGetCurrent
                 U _CFRelease
                 U _CFRunLoopAddSource
                 U _CFRunLoopAddTimer
                 U _CFRunLoopGetCurrent
                 U _CFRunLoopRun
                 U _CFRunLoopSourceCreate
                 U _CFRunLoopSourceInvalidate
                 U _CFRunLoopStop
                 U _CFRunLoopTimerCreateWithHandler
                 U _CFRunLoopTimerInvalidate
                 U _IOConnectCallScalarMethod
                 U _IOConnectRelease
                 U _IOObjectRelease
                 U _IOServiceGetMatchingService
                 U _IOServiceMatching
                 U _IOServiceOpen
0000000000003c57 T _NFCalibrationGetData
0000000000006446 T _NFHardwareGPIOClose
00000000000061f8 T _NFHardwareGPIOOpen
00000000000061e5 T _NFHardwareGPIOSetDeviceWake
0000000000005f8d T _NFHardwareGPIOSetDownloadRequest
0000000000006055 T _NFHardwareGPIOSetIcefallDownloadRequest
000000000000611d T _NFHardwareGPIOSetPMUStandbyPowerEnabled
0000000000005bb1 T _NFHardwareGPIOSetPower
0000000000005b52 T _NFHardwareGetCalibration
0000000000005b4a T _NFHardwareGetUARTLogEnabled
00000000000095c1 T _NFHardwareInterfaceClose
0000000000009741 T _NFHardwareInterfaceFlush
000000000000905f T _NFHardwareInterfaceOpen
00000000000096de T _NFHardwareInterfaceRead
0000000000009720 T _NFHardwareInterfaceReadAbort
00000000000096c2 T _NFHardwareInterfaceSetBaudRate
0000000000009684 T _NFHardwareInterfaceSetDeviceWake
0000000000009621 T _NFHardwareInterfaceSetDownloadRequest
0000000000009642 T _NFHardwareInterfaceSetIcefallDownloadRequest
00000000000096a5 T _NFHardwareInterfaceSetLogFunction
0000000000009663 T _NFHardwareInterfaceSetPMUStandbyPowerEnabled
0000000000009600 T _NFHardwareInterfaceSetPower
0000000000009701 T _NFHardwareInterfaceWrite
0000000000005b91 T _NFHardwareLoad
00000000000051d1 T _NFHardwareRelayClose
0000000000004b2f T _NFHardwareRelayGPIOClose
00000000000049c1 T _NFHardwareRelayGPIOOpen
0000000000004cc3 T _NFHardwareRelayGPIOSetDeviceWake
0000000000004bca T _NFHardwareRelayGPIOSetDownloadRequest
0000000000004c1d T _NFHardwareRelayGPIOSetIcefallDownloadRequest
0000000000004c70 T _NFHardwareRelayGPIOSetPMUStandbyPowerEnabled
0000000000004b7a T _NFHardwareRelayGPIOSetPower
0000000000004d16 T _NFHardwareRelayOpen
00000000000054c8 T _NFHardwareRelayRPC
000000000000520d T _NFHardwareRelayRead
0000000000005407 T _NFHardwareRelayReadAbort
00000000000058f4 T _NFHardwareRelayReceiveMessage
0000000000005671 T _NFHardwareRelaySendMessage
0000000000005aa7 T _NFHardwareRelaySendMessageWithReply
0000000000004460 T _NFHardwareRelayUARTClose
000000000000496f T _NFHardwareRelayUARTFlush
00000000000043e6 T _NFHardwareRelayUARTOpen
0000000000004520 T _NFHardwareRelayUARTRead
00000000000045bf T _NFHardwareRelayUARTReadAbort
00000000000044cb T _NFHardwareRelayUARTSetBaudRate
00000000000044b8 T _NFHardwareRelayUARTSetLogFunction
00000000000045fa T _NFHardwareRelayUARTWrite
0000000000005b3d T _NFHardwareSetLogFunc
0000000000008338 T _NFHardwareUARTClose
0000000000008d3a T _NFHardwareUARTDebugDump
0000000000008c06 T _NFHardwareUARTDebugLastMessage
0000000000008c13 T _NFHardwareUARTDebugLog
000000000000b830 b _NFHardwareUARTDebugMsgList
000000000000b820 b _NFHardwareUARTDebugMsgListIndex
000000000000b6b0 s _NFHardwareUARTDebugMsgTypeString
000000000002c830 b _NFHardwareUARTDebugQueue.onceToken
000000000002c838 b _NFHardwareUARTDebugQueue.queue
0000000000006599 T _NFHardwareUARTDump
00000000000071d0 T _NFHardwareUARTFlush
000000000000780f T _NFHardwareUARTOpen
0000000000008455 T _NFHardwareUARTPower
0000000000006919 T _NFHardwareUARTRead
00000000000065a5 T _NFHardwareUARTReadAbort
00000000000074f4 T _NFHardwareUARTSetBaudRate
00000000000077f9 T _NFHardwareUARTSetLogFunction
0000000000006fa0 T _NFHardwareUARTWrite
0000000000005ba0 T _NFHardwareUnload
0000000000001090 t _NFLogFormat
0000000000002d44 t _NFLogFormat
00000000000037c4 t _NFLogFormat
0000000000003d2d t _NFLogFormat
0000000000003ffb t _NFLogFormat
0000000000004826 t _NFLogFormat
0000000000004ed6 t _NFLogFormat
00000000000057b0 t _NFLogFormat
0000000000005c76 t _NFLogFormat
00000000000067d0 t _NFLogFormat
000000000000947d t _NFLogFormat
                 U _NFSetThreadPriority
0000000000008987 T _NFSharedDumpTransport
000000000000b7f8 b _NFSharedDumpTransport.nciLog
00000000000085f5 T _NFSharedLogLock
000000000000b798 b _NFSharedLogLock.onceToken
00000000000085dd T _NFSharedLogSetDiagnosticLogging
00000000000085e9 T _NFSharedLogSetSynchronousLogging
0000000000008a90 T _NFSharedLogTransport
000000000000b810 b _NFSharedLogTransport._NFSharedTransportLogQueue
000000000000b808 b _NFSharedLogTransport.nciLog
000000000000b800 b _NFSharedLogTransport.onceToken
0000000000008682 T _NFSharedLogUnlock
000000000000870f T _NFSharedLogv
000000000000b7f0 b _NFSharedLogv.onceToken
                 U _NFSimulateCrash
                 U __Block_object_assign
                 U __Block_object_dispose
0000000000005dbf t __NFHardwareGPIOSetBoolean
000000000000501f t __NFHardwareRelaySocketClientOpen
000000000000b818 b __NFHardwareUARTDebugLastMessage
000000000000b790 b __NFLogDiagnostics
000000000000b760 d __NFLogIsSynchronous
000000000000b7e8 b __NFSharedLogClient
00000000000086d5 T __NFSharedLogClose
000000000000b7a0 b __NFSharedLogMutex
0000000000008693 T __NFSharedLogOpen
000000000000b7e0 b __NFSharedLogQueue
                 U __NSConcreteGlobalBlock
                 U __NSConcreteStackBlock
0000000000008d71 t ___NFHardwareUARTDebugDump_block_invoke
0000000000008cb7 t ___NFHardwareUARTDebugLog_block_invoke
0000000000009044 t ___NFHardwareUARTDebugQueue_block_invoke
0000000000008625 t ___NFSharedLogLock_block_invoke
0000000000008b1b t ___NFSharedLogTransport_block_invoke
0000000000008b5f t ___NFSharedLogTransport_block_invoke_2
000000000000881b t ___NFSharedLogv_block_invoke
0000000000008853 t ___NFSharedLogv_block_invoke_2
00000000000088ed t ___NFSharedLogv_block_invoke_3
00000000000086ed t ____NFSharedLogClose_block_invoke
00000000000086ab t ____NFSharedLogOpen_block_invoke
00000000000034b0 t ____phOsalNfc_Timer_StartTimer_block_invoke
000000000000361c t ____phOsalNfc_Timer_StartTimer_block_invoke_2
                 U ___assert_rtn
000000000000b3d0 s ___block_descriptor_tmp
000000000000b450 s ___block_descriptor_tmp
000000000000b4f0 s ___block_descriptor_tmp
000000000000b5f0 s ___block_descriptor_tmp.10
000000000000b610 s ___block_descriptor_tmp.11
000000000000b630 s ___block_descriptor_tmp.15
000000000000b670 s ___block_descriptor_tmp.17
000000000000b3f0 s ___block_descriptor_tmp.18
000000000000b690 s ___block_descriptor_tmp.18
000000000000b410 s ___block_descriptor_tmp.20
000000000000b430 s ___block_descriptor_tmp.21
000000000000b6e0 s ___block_descriptor_tmp.22
000000000000b490 s ___block_descriptor_tmp.24
000000000000b4c0 s ___block_descriptor_tmp.27
000000000000b530 s ___block_descriptor_tmp.3
000000000000b720 s ___block_descriptor_tmp.41
000000000000b570 s ___block_descriptor_tmp.5
000000000000b5b0 s ___block_descriptor_tmp.8
000000000000b470 s ___block_literal_global
000000000000b510 s ___block_literal_global
000000000000b650 s ___block_literal_global.16
000000000000b700 s ___block_literal_global.23
000000000000b550 s ___block_literal_global.4
000000000000b740 s ___block_literal_global.42
000000000000b590 s ___block_literal_global.6
000000000000b5d0 s ___block_literal_global.9
                 U ___bzero
0000000000003700 t ___copy_helper_block_
000000000000372a t ___copy_helper_block_.25
0000000000003717 t ___destroy_helper_block_
0000000000003741 t ___destroy_helper_block_.26
                 U ___error
000000000000306f t ___phOsalNfc_Timer_Deinit_block_invoke
0000000000001cf8 t ___phTmlNfc_Read_block_invoke
0000000000001eb7 t ___phTmlNfc_Read_block_invoke_2
00000000000017b9 t ___phTmlNfc_Write_block_invoke
00000000000019a0 t ___phTmlNfc_Write_block_invoke_2
                 U ___snprintf_chk
                 U ___sprintf_chk
                 U ___stack_chk_fail
                 U ___stack_chk_guard
                 U ___stderrp
                 U ___strlcpy_chk
                 U __os_log_impl
00000000000033e9 t __phOsalNfc_Timer_ClearTimer
0000000000002e8d t __phOsalNfc_Timer_TimerThread
000000000000248f t __phTmlNfc_SetDownload
0000000000002755 t __phTmlNfc_SetIcefallDownload
0000000000002354 t __phTmlNfc_SetPower
                 U _abort
                 U _calloc
                 U _cfmakeraw
                 U _cfsetispeed
                 U _cfsetospeed
                 U _cfsetspeed
                 U _close
                 U _connect
                 U _dispatch_async
                 U _dispatch_group_async
                 U _dispatch_group_create
                 U _dispatch_group_wait
                 U _dispatch_once
                 U _dispatch_queue_attr_make_with_qos_class
                 U _dispatch_queue_create
                 U _dispatch_release
                 U _dispatch_retain
                 U _dispatch_set_target_queue
                 U _dispatch_sync
                 U _dispatch_time
                 U _eos_device_init
                 U _eos_device_is_supported
                 U _exit
                 U _fclose
                 U _fcntl
                 U _fopen
                 U _fread
                 U _free
                 U _fseek
                 U _ftell
                 U _fwrite
000000000002c850 S _gNFHardwareLogv
000000000002c840 S _gPN548_HAL_Logv
000000000000b780 b _gRefCount
000000000000b778 b _gRelay
000000000000b770 b _gTimerContext
                 U _getsockopt
                 U _gettimeofday
000000000002c848 S _gpphOsalNfc_Context
                 U _ioctl
                 U _kCFAllocatorDefault
                 U _kCFRunLoopCommonModes
                 U _kCFRunLoopDefaultMode
                 U _kIOMasterPortDefault
                 U _kevent
                 U _kqueue
                 U _mach_task_self_
                 U _malloc
                 U _memcpy
                 U _memset
                 U _open
                 U _os_log_create
                 U _os_log_type_enabled
                 U _os_release
000000000000427b T _phOsalNfc_DeInit
0000000000003e96 T _phOsalNfc_Delay
00000000000043c9 T _phOsalNfc_FreeLibrary
0000000000003e85 T _phOsalNfc_FreeMemory
0000000000003e71 T _phOsalNfc_GetMemory
000000000000413f T _phOsalNfc_Init
00000000000042ae T _phOsalNfc_LoadLibrary
0000000000003a60 T _phOsalNfc_LogBool
0000000000003b24 T _phOsalNfc_LogFunc
0000000000003b53 T _phOsalNfc_LogHexData
0000000000003754 T _phOsalNfc_LogStr
0000000000003906 T _phOsalNfc_LogU32
0000000000003978 T _phOsalNfc_LogX32
00000000000039ec T _phOsalNfc_LogX64
0000000000003ea6 T _phOsalNfc_MemCompare
0000000000003efb T _phOsalNfc_MemCopy
0000000000003f08 T _phOsalNfc_RaiseException
0000000000003ede T _phOsalNfc_SetMemory
0000000000003087 T _phOsalNfc_Timer_Create
0000000000002f6f T _phOsalNfc_Timer_Deinit
000000000000343a T _phOsalNfc_Timer_Delete
0000000000002875 T _phOsalNfc_Timer_Init
0000000000003113 T _phOsalNfc_Timer_Start
0000000000003376 T _phOsalNfc_Timer_Stop
00000000000025af T _phTmlNfc_ConfigHsuBaudRate
0000000000000d08 T _phTmlNfc_Init
0000000000002125 T _phTmlNfc_IoCtl
00000000000019e6 T _phTmlNfc_Read
0000000000002002 T _phTmlNfc_ReadAbort
00000000000011d9 T _phTmlNfc_Shutdown
00000000000014ae T _phTmlNfc_Write
0000000000001ef4 T _phTmlNfc_WriteAbort
                 U _postAWDMiddlewareExceptionEvent
                 U _pthread_attr_getschedparam
                 U _pthread_cond_destroy
                 U _pthread_cond_init
                 U _pthread_cond_signal
                 U _pthread_cond_timedwait_relative_np
                 U _pthread_create
                 U _pthread_join
                 U _pthread_mutex_destroy
                 U _pthread_mutex_init
                 U _pthread_mutex_lock
                 U _pthread_mutex_unlock
                 U _pthread_mutexattr_destroy
                 U _pthread_mutexattr_init
                 U _pthread_mutexattr_settype
                 U _puts
                 U _read
                 U _recv
00000000000013fd t _releaseTML
                 U _send
                 U _setsockopt
                 U _socket
                 U _socketpair
                 U _strerror
                 U _strlen
                 U _strncmp
                 U _strncpy
                 U _tcgetattr
                 U _tcsetattr
                 U _usleep
                 U _vasprintf
                 U _write
                 U dyld_stub_binder
